Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8
Le,chat,dort,paisiblement,sur,le,canapé,gris.
Nous,avons,marché,longtemps,dans,la,forêt,humide.
Elle,prépare,une,tarte,aux,pommes,pour,demain.
Il,lit,un,roman,captivant,près,de,moi.
Tu,as,laissé,tes,clés,sur,la,table.
Les,enfants,jouent,bruyamment,dans,le,jardin,vert.
J’ai,vu,un,renard,près,du,vieux,moulin.
Nous,irons,à,la,plage,s’il,fait,beau.
Elle,chante,toujours,sous,la,douche,chaque,matin.
Le,facteur,apporte,une,lettre,dans,sa,sacoche.
Il,a,cassé,la,chaise,sans,le,vouloir.
Tu,devrais,dormir,un,peu,plus,la,nuit.
Nous,avons,mangé,des,crêpes,à,la,fraise.
Ils,ont,repeint,le,mur,avec,beaucoup,soin.
Il,porte,un,chapeau,bizarre,pour,cette,fête.
Cette,rue,est,toujours,bruyante,le,vendredi,soir.
Elle,rêve,de,voyager,autour,du,monde,entier.
On,entend,le,vent,souffler,fort,ce,soir.
Le,vieux,chien,marche,lentement,dans,la,neige.
Elle,trouve,cette,robe,vraiment,trop,chère,hélas.
Il,regarde,les,étoiles,allongé,sur,le,sol.
Nous,partons,demain,pour,un,grand,voyage,extraordinaire.
Tu,devrais,appeler,ta,mère,plus,souvent,maintenant.
Ils,parlent,tous,en,même,temps,c’est,pénible.
Le,soleil,se,couche,derrière,les,hautes,montagnes.
Ce,fromage,sent,très,mauvais,mais,goûte,bon.
Elle,porte,toujours,des,chaussures,rouges,au,travail.
Je,t’ai,cherché,partout,dans,tout,le,quartier.
Le,ciel,est,magnifique,après,la,grosse,tempête.
Mon,cousin,adore,les,puzzles,très,compliqués,maintenant.
Cette,maison,semble,abandonnée,depuis,plusieurs,longues,années.
J'ai,perdu,mes,lunettes,dans,le,parc,public.
Nous,avons,bien,ri,pendant,tout,le,spectacle.
Le,bébé,pleure,quand,il,voit,le,chien.
Elle,écrit,chaque,matin,dans,son,petit,journal.
Il,déteste,les,légumes,surtout,les,brocolis,verts.
Cette,histoire,me,rappelle,mon,enfance,à,Paris.
Ils,préparent,une,surprise,pour,leur,meilleure,amie.
J’entends,souvent,des,oiseaux,chanter,très,tôt,matin.
Le,livre,est,tombé,sur,le,sol,dur.
Nous,avons,attendu,longtemps,dans,le,froid,glacial.
Il,a,cassé,son,téléphone,en,tombant,hier.
Tu,oublies,toujours,tes,affaires,dans,le,train.
Mon,voisin,joue,du,piano,toute,la,journée.
Je,déteste,me,lever,tôt,les,dimanches,matins.
Ce,restaurant,sert,les,meilleures,pâtes,de,Marseille.
Nous,avons,cueilli,des,fraises,dans,les,champs.
Tu,parles,trop,vite,je,ne,comprends,rien.
Ils,aiment,nager,dans,le,lac,en,été.
Le,feu,s’est,éteint,pendant,la,nuit,froide.
Il,faut,arroser,les,plantes,tous,les,jours.
Tu,racontes,toujours,les,mêmes,histoires,très,longues.
Il,m’a,offert,des,fleurs,pour,mon,anniversaire.
Cette,robe,te,va,très,bien,franchement,superbe.
Ils,ont,peint,la,maison,en,bleu,ciel.
J’ai,vu,un,hérisson,traverser,la,route,lentement.
Elle,a,crié,quand,elle,a,vu,l’araignée.
Nous,avons,visité,le,musée,samedi,dernier,ensemble.
Il,joue,au,tennis,tous,les,dimanches,matin.
Elle,adore,les,romans,policiers,et,les,thrillers.
Je,préfère,rester,ici,au,lieu,de,sortir.
Nous,sommes,partis,avant,que,la,pluie,commence.
Tu,devrais,ranger,ta,chambre,plus,souvent,maintenant.
Les,feuilles,tombent,lentement,dans,le,vent,doux.
Elle,cuisine,un,gratin,de,légumes,ce,soir.
Le,chaton,a,griffé,mon,bras,par,accident.
Il,s’est,perdu,en,forêt,pendant,trois,heures.
J’ai,pris,trop,de,café,ce,matin,encore.
Nous,allons,au,marché,chaque,dimanche,matin,ensemble.
Ce,chien,est,très,vieux,mais,encore,fidèle.
Il,pleut,fort,depuis,le,lever,du,soleil.
Je,n’aime,pas,trop,le,goût,de,ça.
Elle,parle,souvent,de,ses,voyages,en,Asie.
Il,a,oublié,son,parapluie,dans,le,métro.
Ce,gâteau,est,délicieux,tu,veux,goûter,?
Elle,porte,un,foulard,coloré,très,original,aujourd’hui.
Le,vent,souffle,fort,dans,les,branches,hautes.
Nous,avons,adopté,un,chien,très,mignon,récemment.
Il,collectionne,des,cartes,postales,du,monde,entier.
Elle,a,retrouvé,son,portefeuille,sous,le,canapé.
Le,bébé,sourit,quand,il,voit,sa,mère.
Tu,peux,venir,m’aider,à,porter,ça,?
J’aime,beaucoup,ce,tableau,accroché,dans,ton,salon.
Elle,met,toujours,du,parfum,avant,de,sortir.
