Original Sentence,Completed Sentence
{Blank} chat dort paisiblement sur le canapé gris.,Le chat dort paisiblement sur le canapé gris.
Nous avons {Blank} longtemps dans la forêt humide.,Nous avons marché longtemps dans la forêt humide.
Elle prépare une tarte aux {Blank} pour demain.,Not possible.
Il lit un {Blank} captivant près de moi.,Not possible.
J’ai vu un renard près du {Blank} moulin.,J’ai vu un renard près du vieux moulin.
Nous irons {Blank} la plage {Blank} fait beau.,Nous irons à la plage s'il fait beau.
Elle chante {Blank} {Blank} la douche chaque matin.,Not possible.
Le facteur apporte une lettre {Blank} sa {Blank},Le facteur apporte une lettre à sa maison.
{Blank} a cassé {Blank} chaise sans le vouloir.,Not possible.
Tu devrais dormir {Blank} peu plus la {Blank},Tu devrais dormir un peu plus la nuit.
{Blank} {Blank} mangé des {Blank} à la fraise.,J'ai mangé des bonbons à la fraise.
Ils ont {Blank} le {Blank} avec beaucoup {Blank},Not possible.
{Blank} porte un {Blank} bizarre pour {Blank} fête.,Il porte un chapeau bizarre pour la fête.
Cette {Blank} est {Blank} bruyante {Blank} vendredi soir.,Cette rue est très bruyante le vendredi soir.
Elle rêve {Blank} {Blank} {Blank} du monde entier.,Not possible.
On entend {Blank} vent {Blank} fort {Blank} {Blank},On entend le vent souffler fort aujourd'hui.
{Blank} {Blank} {Blank} marche lentement dans {Blank} neige.,Not possible.
{Blank} {Blank} cette {Blank} {Blank} trop chère hélas.,Cette voiture est trop chère hélas.
{Blank} {Blank} les étoiles allongé {Blank} le {Blank},Not possible.
{Blank} {Blank} {Blank} pour un {Blank} voyage extraordinaire.,Nous partons pour un fabuleux voyage extraordinaire.
Tu devrais appeler {Blank} mère {Blank} {Blank} {Blank},Not possible.
{Blank} parlent {Blank} en {Blank} temps {Blank} {Blank},Ils parlent souvent en même temps sans écouter.
{Blank} soleil {Blank} {Blank} {Blank} {Blank} hautes montagnes.,Le soleil brille sur les hautes montagnes.
{Blank} fromage {Blank} très mauvais {Blank} {Blank} {Blank},Ce fromage est très mauvais pour moi.
{Blank} porte toujours {Blank} chaussures {Blank} {Blank} {Blank},Not possible.
{Blank} t’ai {Blank} {Blank} {Blank} {Blank} le quartier.,Je t'ai fait visiter le quartier.
{Blank} {Blank} {Blank} {Blank} {Blank} la {Blank} tempête.,Not possible.
Mon {Blank} {Blank} {Blank} puzzles {Blank} {Blank} {Blank},Mon chat adore les puzzles difficiles.
{Blank} maison {Blank} {Blank} {Blank} plusieurs {Blank} {Blank},Not possible.
J'ai {Blank} {Blank} {Blank} {Blank} {Blank} {Blank} public.,Not possible.
{Blank} {Blank} {Blank} ri {Blank} {Blank} {Blank} {Blank},Il a ri aux éclats.
{Blank} {Blank} pleure {Blank} {Blank} {Blank} {Blank} {Blank},Il pleure souvent dans son lit.
{Blank} {Blank} les {Blank} {Blank} {Blank} {Blank} {Blank},Not possible.
